created_at,favorite_count,hashtags,retweet_count,text
Tue Jul 24 05:09:48 +0000 2018,0,['CarrFire'],0,"Retweeted CAL FIRE SHU (@CALFIRESHU):

#CarrFire [update] at HWY 299 &amp; Carr Powerhouse Rd in French Gulch (Shasta C… https://t.co/waSYXws5Sz"
Tue Jul 24 05:09:46 +0000 2018,0,['CarrFire'],0,RT @CALFIRESHU: #CarrFire [update] at HWY 299 &amp; Carr Powerhouse Rd in French Gulch (Shasta County) is now 2500 acres and 5% contained. http…
Tue Jul 24 05:09:01 +0000 2018,15,"['CAfire', 'FergusonFire', 'CarrFire', 'PicoFire']",10,"#CAfire update
#FergusonFire 36,102 acres, 16% contained
#CarrFire 1,500 acres
#PicoFire 120 acres, 40%… https://t.co/M58wcfvhG6"
Tue Jul 24 05:07:22 +0000 2018,0,['CarrFire'],0,"RT @MarioMNews: #CarrFire now at 1, 000+ acres. Town of French Gulch under mandatory evacuation orders. Evacuation center setup at Weavervi…"
Tue Jul 24 05:07:20 +0000 2018,0,['CarrFire'],0,RT @CALFIRESHU: #CarrFire [update] at HWY 299 &amp; Carr Powerhouse Rd in French Gulch (Shasta County) is now 2500 acres and 5% contained. http…
Tue Jul 24 05:05:37 +0000 2018,0,['CarrFire'],0,"RT @CAL_FIRE: #CarrFire [update]  with a wildfire at Hwy 299 and Carr Powerhouse Rd, Whiskeytown (Shasta County) is now 350 acres. Unified…"
Tue Jul 24 05:05:02 +0000 2018,0,['CarrFire'],0,RT @CALFIRESHU: #CarrFire [update] at HWY 299 &amp; Carr Powerhouse Rd in French Gulch (Shasta County) is now 2500 acres and 5% contained. http…
Tue Jul 24 05:04:35 +0000 2018,0,['CarrFire'],0,RT @CALFIRESHU: #CarrFire [update] at HWY 299 &amp; Carr Powerhouse Rd in French Gulch (Shasta County) is now 2500 acres and 5% contained. http…
Tue Jul 24 05:03:31 +0000 2018,1,['CarrFire'],0,"Retweeted CAL FIRE SHU (@CALFIRESHU):

#CarrFire [update] at HWY 299 &amp; Carr Powerhouse Rd in French Gulch (Shasta C… https://t.co/OChpEJUwDA"
Tue Jul 24 05:03:29 +0000 2018,0,['CarrFire'],0,RT @CALFIRESHU: #CarrFire [update] at HWY 299 &amp; Carr Powerhouse Rd in French Gulch (Shasta County) is now 2500 acres and 5% contained. http…
Tue Jul 24 05:02:50 +0000 2018,0,['CarrFire'],0,"Retweeted Caltrans District 2 (@CaltransD2):

Latest update from @CALFIRESHU on #CarrFire.  SR 299W remains closed… https://t.co/cLRnzya2zL"
Tue Jul 24 05:01:33 +0000 2018,0,['CarrFire'],0,RT @CALFIRESHU: #CarrFire [update] at HWY 299 &amp; Carr Powerhouse Rd in French Gulch (Shasta County) is now 2500 acres and 5% contained. http…
Tue Jul 24 05:01:08 +0000 2018,0,['CarrFire'],0,RT @CALFIRESHU: #CarrFire [update] at HWY 299 &amp; Carr Powerhouse Rd in French Gulch (Shasta County) is now 2500 acres and 5% contained. http…
Tue Jul 24 05:00:55 +0000 2018,0,['CarrFire'],0,RT @engineco16: #CarrFire [update] at HWY 299 &amp; Carr Powerhouse Rd in French Gulch (Shasta County) is now 2500 acres and 5% contained. http…
Tue Jul 24 05:00:51 +0000 2018,0,['CarrFire'],0,RT @CALFIRESHU: #CarrFire [update] at HWY 299 &amp; Carr Powerhouse Rd in French Gulch (Shasta County) is now 2500 acres and 5% contained. http…
Tue Jul 24 04:58:18 +0000 2018,0,['CarrFire'],0,RT @ashulman_RS: The sun is bright red right now from the #CarrFire https://t.co/CNpmPqC2QL
Tue Jul 24 04:56:18 +0000 2018,0,['CarrFire'],0,RT @CALFIRESHU: #CarrFire [update] at HWY 299 &amp; Carr Powerhouse Rd in French Gulch (Shasta County) is now 2500 acres and 5% contained. http…
Tue Jul 24 04:53:53 +0000 2018,7,['CarrFire'],0,The #CarrFire is not nearly as hot/active on GOES-16 Fire Temperature Product.  Noticeable downtrend the last 2 hou… https://t.co/9mEjvyMP4r
Tue Jul 24 04:53:44 +0000 2018,0,['CarrFire'],0,RT @ShastaSheriff: #CarrFire [UPDATE] Evac orders added for residents of Whiskey Creek Road north of Hwy 299 &amp; SR299 west of Trinity Mtn Rd…
Tue Jul 24 04:53:24 +0000 2018,0,['CarrFire'],0,RT @CALFIRESHU: #CarrFire [update] at HWY 299 &amp; Carr Powerhouse Rd in French Gulch (Shasta County) is now 1500 acres and 0% contained. http…
Tue Jul 24 04:53:10 +0000 2018,0,['CarrFire'],0,RT @CALFIRESHU: #CarrFire second evacuation shelter has been opened at Shasta High School for residents east of Trinity Mountain Road https…
Tue Jul 24 04:52:22 +0000 2018,0,['CarrFire'],0,RT @CALFIRESHU: #CarrFire [update] at HWY 299 &amp; Carr Powerhouse Rd in French Gulch (Shasta County) is now 2500 acres and 5% contained. http…
Tue Jul 24 04:52:03 +0000 2018,0,['CarrFire'],0,RT @CALFIRESHU: #CarrFire [update] at HWY 299 &amp; Carr Powerhouse Rd in French Gulch (Shasta County) is now 2500 acres and 5% contained. http…
Tue Jul 24 04:51:29 +0000 2018,0,"['Whiskeytown', 'CarrFire', 'OnlyYou']",0,RT @publiclandlvr: Not your typical #Whiskeytown sunset. #CarrFire #OnlyYou https://t.co/1cNHuJFHAo
Tue Jul 24 04:50:39 +0000 2018,0,['CarrFire'],0,RT @CALFIRESHU: #CarrFire [update] at HWY 299 &amp; Carr Powerhouse Rd in French Gulch (Shasta County) is now 2500 acres and 5% contained. http…
Tue Jul 24 04:50:35 +0000 2018,0,['CarrFire'],0,RT @CALFIRESHU: #CarrFire [update] at HWY 299 &amp; Carr Powerhouse Rd in French Gulch (Shasta County) is now 2500 acres and 5% contained. http…
Tue Jul 24 04:49:59 +0000 2018,0,['CarrFire'],0,RT @CALFIRESHU: #CarrFire [update] at HWY 299 &amp; Carr Powerhouse Rd in French Gulch (Shasta County) is now 2500 acres and 5% contained. http…
Tue Jul 24 04:49:56 +0000 2018,0,['CarrFire'],0,RT @CALFIRESHU: #CarrFire [update] at HWY 299 &amp; Carr Powerhouse Rd in French Gulch (Shasta County) is now 2500 acres and 5% contained. http…
Tue Jul 24 04:48:13 +0000 2018,0,['CarrFire'],0,RT CALFIRESHU: #CarrFire [update] at HWY 299 &amp; Carr Powerhouse Rd in French Gulch (Shasta County) is now 2500 acres… https://t.co/OtKCGdCX4y
Tue Jul 24 04:47:44 +0000 2018,5,['CarrFire'],2,#CarrFire [update] at HWY 299 &amp; Carr Powerhouse Rd in French Gulch (Shasta County) is now 2500 acres and 5% contain… https://t.co/Mm4JRAbJXn
Tue Jul 24 04:47:02 +0000 2018,0,['CarrFire'],0,RT @CALFIRESHU: #CarrFire [update] at HWY 299 &amp; Carr Powerhouse Rd in French Gulch (Shasta County) is now 2500 acres and 5% contained. http…
Tue Jul 24 04:46:36 +0000 2018,0,['CarrFire'],0,RT @CALFIRESHU: #CarrFire [update] at HWY 299 &amp; Carr Powerhouse Rd in French Gulch (Shasta County) is now 2500 acres and 5% contained. http…
Tue Jul 24 04:46:23 +0000 2018,50,['CarrFire'],40,#CarrFire [update] at HWY 299 &amp; Carr Powerhouse Rd in French Gulch (Shasta County) is now 2500 acres and 5% contain… https://t.co/MiotCloZUr
Tue Jul 24 04:45:54 +0000 2018,0,[],0,"RT @KRCR7: CARR FIRE VIDEO: Check out this incredible video sent to us by Dan Ryant of the Carr Fire. Officials say the fire is 1,000 acres…"
Tue Jul 24 04:43:34 +0000 2018,0,"['CarrFire', 'CAfire']",0,RT @mofilly: #CarrFire Shasta County #CAfire https://t.co/mPvcZLddts
Tue Jul 24 04:43:18 +0000 2018,1,['CarrFire'],0,#CarrFire [update] https://t.co/kxVBP8epgE
Tue Jul 24 04:43:05 +0000 2018,0,"['CarrFire', 'CAfire']",0,RT @mofilly: #CarrFire Shasta County #CAfire https://t.co/mPvcZLddts
Tue Jul 24 04:42:54 +0000 2018,0,[],0,"RT @TrinityDOT: Evacuees from the Carr Fire, please take your dog or cat to the Trinity County Animal Shelter before going to the evacuatio…"
Tue Jul 24 04:39:37 +0000 2018,0,['CarrFire'],0,"RT @Dozerman42: We’re ready to unload and start cutting line on the #CarrFire in French Gulch,  time to cut line and save this town. https:…"
Tue Jul 24 04:38:15 +0000 2018,0,['CarrFire'],0,RT @CaltransD2: SR 299W remains closed due to #CarrFire near Whiskeytown Lake.  Eastbound closure now at Buckhorn Summit &amp; westbound closur…
Tue Jul 24 04:37:34 +0000 2018,0,[],0,"RT @TrinityDOT: Evacuees from the Carr Fire, please take your dog or cat to the Trinity County Animal Shelter before going to the evacuatio…"
Tue Jul 24 04:36:15 +0000 2018,0,['CarrFire'],0,"RT @resistthis2017: Hey @RepLaMalfa, #CarrFire at HWY 299 &amp; Carr Powerhouse Rd in French Gulch (Shasta County) is now 1000 acres and 0% con…"
Tue Jul 24 04:33:14 +0000 2018,0,['CarrFire'],0,RT @ShastaSheriff: #CarrFire [UPDATE] Evac orders added for residents of Whiskey Creek Road north of Hwy 299 &amp; SR299 west of Trinity Mtn Rd…
Tue Jul 24 04:32:42 +0000 2018,0,['CarrFire'],0,"RT @JavierC27236979: #CarrFire smoke can be seen out of Oroville,Ca last repost of acres 1900. Photo credit: Javier Carmona https://t.co/Om…"
Tue Jul 24 04:31:23 +0000 2018,0,[],0,"RT @KRCR7: CARR FIRE VIDEO: Check out this incredible video sent to us by Dan Ryant of the Carr Fire. Officials say the fire is 1,000 acres…"
Tue Jul 24 04:31:13 +0000 2018,4,"['FrenchGulch', 'CarrFire']",0,Oh my gosh #FrenchGulch good luck to all the firefighters battling the #CarrFire @CAL_FIRE https://t.co/Xgm9FLUIML
Tue Jul 24 04:31:01 +0000 2018,2,['CarrFire'],0,@ReddingRodeo grounds available for evacuation of horses #CarrFire
Tue Jul 24 04:28:25 +0000 2018,0,['CarrFire'],0,"RT @JavierC27236979: #CarrFire smoke can be seen out of Oroville,Ca last repost of acres 1900. Photo credit: Javier Carmona https://t.co/Om…"
Tue Jul 24 04:27:06 +0000 2018,0,['carrfire'],0,RT @tankis5150: Time lapse of #carrfire https://t.co/AoZfKQ7urQ
Tue Jul 24 04:26:33 +0000 2018,0,['CarrFire'],0,RT @ChicoFD: We have sent 5 firefighters (1 engine and 1 strike team leader) to the #CarrFire burning in Shasta County. The fire is burning…
Tue Jul 24 04:25:27 +0000 2018,0,['CarrFire'],0,"RT @CHPRedding: #CarrFire

Please check in for updates and check the Cal Fire Incidents page: https://t.co/ARW3ArYFuc"
Tue Jul 24 04:25:27 +0000 2018,0,['CarrFire'],0,"RT @CHPRedding: #CarrFire

Please check in for updates and check the Cal Fire Incidents page: https://t.co/ARW3ArYFuc"
Tue Jul 24 04:25:27 +0000 2018,0,['CarrFire'],0,"RT @CHPRedding: #CarrFire

Please check in for updates and check the Cal Fire Incidents page: https://t.co/ARW3ArYFuc"
Tue Jul 24 04:21:09 +0000 2018,0,['CarrFire'],0,RT @krcrphoto: Lucky to have some of the best pilots fly over our fires. This is @CALFIRESHU copter #901 working the #CarrFire in French Gu…
Tue Jul 24 04:18:29 +0000 2018,0,"['CarrFire', 'CAfire']",0,RT @mofilly: #CarrFire Shasta County #CAfire https://t.co/mPvcZLddts
Tue Jul 24 04:18:29 +0000 2018,0,['carrfire'],0,RT @tankis5150: Time lapse of #carrfire https://t.co/AoZfKQ7urQ
Tue Jul 24 04:16:37 +0000 2018,0,['CarrFire'],0,RT @CalOES_Dir: The #CarrFire is another challenging fire in our state exhibiting extreme conditions. Thanks to @BobatFEMA @femaregion9 &amp; @…
Tue Jul 24 04:16:20 +0000 2018,0,['CarrFire'],0,"RT @JavierC27236979: #CarrFire smoke can be seen out of Oroville,Ca last repost of acres 1900. Photo credit: Javier Carmona https://t.co/Om…"
Tue Jul 24 04:14:39 +0000 2018,23,['CarrFire'],6,We have sent 5 firefighters (1 engine and 1 strike team leader) to the #CarrFire burning in Shasta County. The fire… https://t.co/Zkcf0eV4W1
Tue Jul 24 04:14:36 +0000 2018,19,['CarrFire'],7,The #CarrFire is another challenging fire in our state exhibiting extreme conditions. Thanks to @BobatFEMA… https://t.co/qxcHbWdKGY
Tue Jul 24 04:13:50 +0000 2018,0,['CarrFire'],0,RT @Cal_OES: NEWS: @Cal_OES Director Secures Fire Management Assistance Grant from FEMA to Assist Response Agencies Battling #CarrFire in #…
Tue Jul 24 04:13:24 +0000 2018,12,['CarrFire'],8,"#CarrFire smoke can be seen out of Oroville,Ca last repost of acres 1900. Photo credit: Javier Carmona https://t.co/OmsfaOqaJI"
Tue Jul 24 04:12:50 +0000 2018,0,['CarrFire'],0,"RT @emmaruthoneill: We added another fire to our map. #CarrFire is 1,000 acres and just NW of Redding. Evacuations are in place and Hwy 299…"
Tue Jul 24 04:11:24 +0000 2018,0,"['Whiskeytown', 'CarrFire', 'OnlyYou']",0,RT @publiclandlvr: Not your typical #Whiskeytown sunset. #CarrFire #OnlyYou https://t.co/1cNHuJFHAo
Tue Jul 24 04:06:51 +0000 2018,0,['CarrFire'],0,RT @CALFIRESHU: #CarrFire second evacuation shelter has been opened at Shasta High School for residents east of Trinity Mountain Road https…
Tue Jul 24 04:05:45 +0000 2018,0,['CarrFire'],0,"RT @CHPRedding: #CarrFire

Please check in for updates and check the Cal Fire Incidents page: https://t.co/ARW3ArYFuc"
Tue Jul 24 04:05:39 +0000 2018,0,"['PyroCu', 'CarrFire', 'PyroCb', 'GOES16']",0,RT @nplareau: Colder cloud tops now occurring on #PyroCu from #CarrFire suggesting possible transition to #PyroCb. #GOES16 #daytimecloudpha…
Tue Jul 24 04:04:20 +0000 2018,6,['CarrFire'],4,"#CarrFire

Please check in for updates and check the Cal Fire Incidents page: https://t.co/ARW3ArYFuc"
Tue Jul 24 04:03:21 +0000 2018,0,['CarrFire'],0,"RT @NWSEureka: Thunderstorms have developed ~15 miles to the southwest of the #CarrFire near Douglas City, and lightning strikes have been…"
Tue Jul 24 04:02:39 +0000 2018,0,['carrfire'],0,RT @tankis5150: Time lapse of #carrfire https://t.co/AoZfKQ7urQ
Tue Jul 24 04:01:24 +0000 2018,0,['CarrFire'],0,RT @Cal_OES: NEWS: @Cal_OES Director Secures Fire Management Assistance Grant from FEMA to Assist Response Agencies Battling #CarrFire in #…
Tue Jul 24 04:00:54 +0000 2018,0,['CarrFire'],0,"RT @CAL_FIRE: #CarrFire [update] at Hwy 299 and Carr Powerhouse Rd, Whiskeytown  (Shasta County) is now 1,500 acres. Evacuations and road c…"
Tue Jul 24 04:00:52 +0000 2018,0,[],0,"RT @KRCR7: CARR FIRE VIDEO: Check out this incredible video sent to us by Dan Ryant of the Carr Fire. Officials say the fire is 1,000 acres…"
Tue Jul 24 04:00:22 +0000 2018,0,['CarrFire'],0,RT @tehamacospotter: #CarrFire taken from a family friend. https://t.co/10AAH5VCBW
Tue Jul 24 04:00:17 +0000 2018,0,"['CarrFire', 'CAfire']",0,RT @mofilly: #CarrFire Shasta County #CAfire https://t.co/mPvcZLddts
Tue Jul 24 03:59:44 +0000 2018,0,['CarrFire'],0,"RT @NWSEureka: Thunderstorms have developed ~15 miles to the southwest of the #CarrFire near Douglas City, and lightning strikes have been…"
Tue Jul 24 03:59:15 +0000 2018,0,['CarrFire'],0,RT @CALFIRESHU: #CarrFire second evacuation shelter has been opened at Shasta High School for residents east of Trinity Mountain Road https…
Tue Jul 24 03:58:22 +0000 2018,0,"['PyroCu', 'CarrFire', 'CAwx', 'CAfire']",0,RT @nplareau: great time lapse of #PyroCu development from the #CarrFire. #CAwx #CAfire https://t.co/08dxQjJdNs
Tue Jul 24 03:58:12 +0000 2018,0,['CarrFire'],0,"RT @Dozerman42: We’re ready to unload and start cutting line on the #CarrFire in French Gulch,  time to cut line and save this town. https:…"
Tue Jul 24 03:57:38 +0000 2018,0,['CarrFire'],0,RT @krcrphoto: Lucky to have some of the best pilots fly over our fires. This is @CALFIRESHU copter #901 working the #CarrFire in French Gu…
Tue Jul 24 03:57:25 +0000 2018,0,['CarrFire'],0,"RT @Dozerman42: We’re ready to unload and start cutting line on the #CarrFire in French Gulch,  time to cut line and save this town. https:…"
Tue Jul 24 03:57:18 +0000 2018,0,['CarrFire'],0,RT @Cal_OES: NEWS: @Cal_OES Director Secures Fire Management Assistance Grant from FEMA to Assist Response Agencies Battling #CarrFire in #…
Tue Jul 24 03:56:47 +0000 2018,0,['CarrFire'],0,"RT @Dozerman42: We’re ready to unload and start cutting line on the #CarrFire in French Gulch,  time to cut line and save this town. https:…"
Tue Jul 24 03:56:41 +0000 2018,0,['CarrFire'],0,RT @krcrphoto: Lucky to have some of the best pilots fly over our fires. This is @CALFIRESHU copter #901 working the #CarrFire in French Gu…
Tue Jul 24 03:52:21 +0000 2018,0,"['Whiskeytown', 'CarrFire', 'OnlyYou']",0,RT @publiclandlvr: Not your typical #Whiskeytown sunset. #CarrFire #OnlyYou https://t.co/1cNHuJFHAo
Tue Jul 24 03:52:19 +0000 2018,0,"['CarrFire', 'CAwx']",0,RT @RobElvington: Big pyrocumulus off the #CarrFire smoke plume.  View from KRCR.  #CAwx https://t.co/6vPNNIBoOY
Tue Jul 24 03:49:22 +0000 2018,0,"['PyroCu', 'CarrFire', 'CAwx', 'CAfire']",0,RT @nplareau: great time lapse of #PyroCu development from the #CarrFire. #CAwx #CAfire https://t.co/08dxQjJdNs
Tue Jul 24 03:48:33 +0000 2018,40,['CarrFire'],16,Lucky to have some of the best pilots fly over our fires. This is @CALFIRESHU copter #901 working the #CarrFire in… https://t.co/H8LIOf4XpU
Tue Jul 24 03:47:01 +0000 2018,0,['CarrFire'],0,RT @Cal_OES: NEWS: @Cal_OES Director Secures Fire Management Assistance Grant from FEMA to Assist Response Agencies Battling #CarrFire in #…
Tue Jul 24 03:46:46 +0000 2018,0,['CarrFire'],0,RT @Cal_OES: NEWS: @Cal_OES Director Secures Fire Management Assistance Grant from FEMA to Assist Response Agencies Battling #CarrFire in #…
Tue Jul 24 03:46:27 +0000 2018,0,[],0,"RT @KRCR7: CARR FIRE VIDEO: Check out this incredible video sent to us by Dan Ryant of the Carr Fire. Officials say the fire is 1,000 acres…"
Tue Jul 24 03:45:59 +0000 2018,0,['CarrFire'],0,RT @Cal_OES: NEWS: @Cal_OES Director Secures Fire Management Assistance Grant from FEMA to Assist Response Agencies Battling #CarrFire in #…
Tue Jul 24 03:45:35 +0000 2018,0,['CarrFire'],0,RT @Cal_OES: NEWS: @Cal_OES Director Secures Fire Management Assistance Grant from FEMA to Assist Response Agencies Battling #CarrFire in #…
Tue Jul 24 03:45:28 +0000 2018,0,['CarrFire'],0,"RT @KRCR7: CARR FIRE UPDATE: The #CarrFire is now 1,500 acres and is 0 percent contained. Officials have also issued additional evacuations…"
Tue Jul 24 03:45:21 +0000 2018,0,['CarrFire'],0,RT @Cal_OES: NEWS: @Cal_OES Director Secures Fire Management Assistance Grant from FEMA to Assist Response Agencies Battling #CarrFire in #…
Tue Jul 24 03:45:06 +0000 2018,25,[],12,NEWS: @Cal_OES Director Secures Fire Management Assistance Grant from FEMA to Assist Response Agencies Battling… https://t.co/KScoqZb5F9
Tue Jul 24 03:44:43 +0000 2018,0,"['PyroCu', 'CarrFire', 'CAwx', 'CAfire']",0,RT @nplareau: great time lapse of #PyroCu development from the #CarrFire. #CAwx #CAfire https://t.co/08dxQjJdNs
Tue Jul 24 03:42:13 +0000 2018,0,['CarrFire'],0,"RT @CAL_FIRE: #CarrFire [update] at Hwy 299 and Carr Powerhouse Rd, Whiskeytown  (Shasta County) is now 1,500 acres. Evacuations and road c…"
Tue Jul 24 03:39:34 +0000 2018,0,[],0,"RT @KRCR7: CARR FIRE VIDEO: Check out this incredible video sent to us by Dan Ryant of the Carr Fire. Officials say the fire is 1,000 acres…"
Tue Jul 24 03:38:47 +0000 2018,0,['CarrFire'],0,"RT @Dozerman42: We’re ready to unload and start cutting line on the #CarrFire in French Gulch,  time to cut line and save this town. https:…"
Tue Jul 24 03:35:23 +0000 2018,0,"['Whiskeytown', 'CarrFire', 'OnlyYou']",0,RT @publiclandlvr: Not your typical #Whiskeytown sunset. #CarrFire #OnlyYou https://t.co/1cNHuJFHAo
Tue Jul 24 03:34:59 +0000 2018,0,['CarrFire'],0,RT @CaltransD2: SR 299W remains closed due to #CarrFire near Whiskeytown Lake.  Eastbound closure now at Buckhorn Summit &amp; westbound closur…
