created_at,favorite_count,hashtags,retweet_count,text
Thu Nov 08 23:59:59 +0000 2018,0,['CampFire'],0,RT @RealJamesWoods: Any info? Call 435-238-0730 #CampFire https://t.co/eCzdhIjMO1
Thu Nov 08 23:59:59 +0000 2018,0,['CampFire'],0,RT @RealJamesWoods: IMPORTANT!!! 911 overwhelmed. For RESCUE EMERGENCIES call this number: 530 538 7911 #CampFire https://t.co/8w8MgQg5fC
Thu Nov 08 23:59:59 +0000 2018,10,[],0,Think it’s getting to the point where it may be smart to collect personal items and round up animals in case Chico… https://t.co/WpTAqKCJc3
Thu Nov 08 23:59:59 +0000 2018,0,"['BREAKING', 'CampFire']",0,"RT @nbcbayarea: #BREAKING: Fast-moving #CampFire in Butte County has jumped to over 18,000 acres, according to @CAL_FIRE. https://t.co/prHp…"
Thu Nov 08 23:59:58 +0000 2018,0,['CampFire'],0,RT @DaniD0909: My BIL was stuck in a safe zone. This is a pic from his current location. Doesn't look very safe now. #CampFire https://t.co…
Thu Nov 08 23:59:57 +0000 2018,0,"['CampFire', 'CampFireJamesWoods']",0,RT @battst76: RT to help locate a dementia patient on hospice care.  Spread the word to help those in need.  #CampFire #CampFireJamesWoods…
Thu Nov 08 23:59:57 +0000 2018,0,"['CampFire', 'CampFireJamesWoods']",0,RT @RealJamesWoods: STRANDED: Bill and Bancy Golling contact @schmoopiemoopin #CampFire #CampFireJamesWoods https://t.co/SqRi7qMQkm
Thu Nov 08 23:59:56 +0000 2018,0,['CampFire'],0,RT @RealJamesWoods: Missing grandparents Donald and Bonnie Bigger in Magalia at 13512 Union Court Contact: @AmberCa49231103  #CampFire #Cam…
Thu Nov 08 23:59:56 +0000 2018,0,"['CampFire', 'CampFireJamesWoods']",0,RT @RealJamesWoods: STRANDED: Bill and Bancy Golling contact @schmoopiemoopin #CampFire #CampFireJamesWoods https://t.co/SqRi7qMQkm
Thu Nov 08 23:59:56 +0000 2018,0,"['CampFire', 'EVACUATE']",0,RT @RealJamesWoods: This was posted an hour ago. The #CampFire is fast moving and raging. #EVACUATE WHEN TOLD. Failure to do do means firef…
Thu Nov 08 23:59:56 +0000 2018,0,['campfire'],0,"RT @AnthonyFarnell: Smoke from the Paradise #campfire now filling the sky in San Francisco, over 250km away. https://t.co/aBdzdvf6tJ"
Thu Nov 08 23:59:55 +0000 2018,0,[],0,"RT @AboutElizabethM: This is my hometown. My hometown is burning. I’m in shock. 10,000+ acres on fire, zero containment. Ppl unable to evac…"
Thu Nov 08 23:59:55 +0000 2018,0,[],0,RT @RealJamesWoods: Register with @RedCross “safe and well” website. Loved ones can verify your safety and responders can take you off thei…
Thu Nov 08 23:59:54 +0000 2018,0,"['CampFire', 'CampFireJamesWoods']",0,RT @RealJamesWoods: STRANDED: Bill and Bancy Golling contact @schmoopiemoopin #CampFire #CampFireJamesWoods https://t.co/SqRi7qMQkm
