latitute,longitute
39.7617,-121.609
39.7617,-121.609
39.7617,-121.609
39.7263,-121.8358
39.51877998,-121.56726599999999
39.76,-121.86
39.51877998,-121.56726599999999
39.7263,-121.8358
39.7617,-121.609
39.7263,-121.8358
39.51877998,-121.56726599999999
39.52954642,-121.4739987
39.756978000000004,-121.84558918
39.7617,-121.609
39.5129,-121.5583
39.7617,-121.609
39.724193,-121.81535600000001
39.7245,-121.81483
39.7245,-121.81483
39.7263,-121.8358
39.7263,-121.8358
39.7263,-121.8358
39.7263,-121.8358
39.7617,-121.609
39.7617,-121.609
39.7263,-121.8358
39.7617,-121.609
39.5087,-121.555
39.7617,-121.609
39.513775,-121.55635900000001
39.7617,-121.609
39.7617,-121.609
39.5087,-121.555
39.7263,-121.8358
39.72877612,-121.80597963
39.759606,-121.621918
39.7617,-121.609
39.5087,-121.555
39.728494,-121.837478
39.7617,-121.609
39.7263,-121.8358
39.7263,-121.8358
39.7617,-121.609
39.7263,-121.8358
39.73066966,-121.8395439
39.76148436,-121.830771
39.7617,-121.609
39.7617,-121.609
39.7263,-121.8358
39.7617,-121.609
39.759606,-121.621918
39.7617,-121.609
39.7263,-121.8358
39.7617,-121.609
39.7617,-121.609
39.7617,-121.609
39.7617,-121.609
39.7617,-121.609
39.7263,-121.8358
39.7263,-121.8358
39.7617,-121.609
39.7617,-121.609
39.41388889,-121.71027778
39.826,-121.603
39.65888889,-121.63111111
39.826,-121.603
39.72997599,-121.85155879
39.75065,-121.87078000000001
39.7617,-121.609
39.7617,-121.609
39.76448,-121.81448
39.7617,-121.609
39.7483,-121.82863
39.7617,-121.609
39.7617,-121.609
39.77537,-121.83894
39.77537,-121.83894
39.7263,-121.8358
39.7263,-121.8358
39.7617,-121.609
39.7263,-121.8358
39.7617,-121.609
39.7263,-121.8358
39.71665991,-121.81196219
39.7617,-121.609
39.81166667,-121.65972222
39.7617,-121.609
39.7617,-121.609
39.7617,-121.609
39.7263,-121.8358
39.7617,-121.609
39.7371,-121.514
39.58195,-121.6226
39.7371,-121.514
39.826,-121.603
39.759606,-121.621918
39.7263,-121.8358
39.759606,-121.621918
39.7263,-121.8358
39.759606,-121.621918
39.76191,-121.84433
39.7617,-121.609
39.7617,-121.609
39.7263,-121.8358
39.7617,-121.609
39.7617,-121.609
39.7263,-121.8358
39.7617,-121.609
39.7263,-121.8358
39.7617,-121.609
39.4989,-121.601
39.7263,-121.8358
39.7263,-121.8358
39.7263,-121.8358
39.7263,-121.8358
39.7263,-121.8358
39.74,-121.835
39.58195,-121.6226
39.74,-121.835
39.64979,-121.5595
39.74,-121.835
40.6292034,-122.3735424
40.6292034,-122.3735424
40.6292034,-122.3735424
40.6291809,-122.3735014
40.6292034,-122.3735424
40.6292034,-122.3735424
40.6291809,-122.3735014
40.6291809,-122.3735014
40.629121399999995,-122.37354350000001
40.6291071,-122.3735483
40.6291071,-122.3735483
40.6291071,-122.3735483
40.5766,-122.37
40.58948644,-122.38003509
40.5766,-122.37
40.5766,-122.37
40.61485595,-122.52027294
40.61485595,-122.52027294
40.5766,-122.37
40.629126,-122.37354909999999
40.629126,-122.37354909999999
40.629126,-122.37354909999999
40.629126,-122.37354909999999
40.6291261,-122.3735513
40.6290915,-122.37355149999999
40.629126,-122.37354909999999
40.5766,-122.37
40.5766,-122.37
40.5766,-122.37
40.5766,-122.37
40.629127399999994,-122.3735216
40.629127399999994,-122.3735216
40.629127399999994,-122.3735216
40.629127399999994,-122.3735216
40.629127399999994,-122.3735216
40.629106799999995,-122.373516
40.629106799999995,-122.373516
40.629106799999995,-122.373516
40.629106799999995,-122.373516
40.629106799999995,-122.373516
40.629106799999995,-122.373516
40.629106799999995,-122.373516
40.629106799999995,-122.373516
40.629106799999995,-122.373516
40.629106799999995,-122.373516
40.629106799999995,-122.373516
40.629106799999995,-122.373516
40.629106799999995,-122.373516
40.629106799999995,-122.373516
40.629106799999995,-122.373516
40.572309999999995,-122.35038999999999
40.6291147,-122.3735194
40.6291147,-122.3735194
40.6291147,-122.3735194
40.6291147,-122.3735194
40.6291147,-122.3735194
40.6291147,-122.3735194
40.5824044,-122.39047520000001
40.6389,-122.559
40.5766,-122.37
40.6291304,-122.37352390000001
40.629121500000004,-122.3735236
40.6389,-122.559
40.629121500000004,-122.3735236
40.629121500000004,-122.3735236
40.629121500000004,-122.3735236
40.629121500000004,-122.3735236
40.629121500000004,-122.3735236
40.629121500000004,-122.3735236
40.6291345,-122.37351890000001
40.6291345,-122.37351890000001
40.6291345,-122.37351890000001
40.6291345,-122.37351890000001
40.6291345,-122.37351890000001
40.6291345,-122.37351890000001
40.6291345,-122.37351890000001
40.6291345,-122.37351890000001
40.6291345,-122.37351890000001
40.6291345,-122.37351890000001
40.6389,-122.559
40.629124499999996,-122.3735201
40.629124499999996,-122.3735201
40.629124499999996,-122.3735201
40.629124499999996,-122.3735201
40.629124499999996,-122.3735201
40.629124499999996,-122.3735201
40.629124499999996,-122.3735201
40.629124499999996,-122.3735201
40.629124499999996,-122.3735201
40.6291229,-122.37351470000002
40.5766,-122.37
40.6291229,-122.37351470000002
40.6291153,-122.373512
40.6389,-122.559
40.6291153,-122.373512
40.6291153,-122.373512
40.6291153,-122.373512
40.5766,-122.37
40.6291153,-122.373512
40.6291153,-122.373512
40.6291153,-122.373512
40.6291153,-122.373512
40.6291078,-122.37352109999999
40.4521,-122.29700000000001
40.5766,-122.37
40.6291078,-122.37352109999999
40.6291078,-122.37352109999999
40.6389,-122.559
40.6291078,-122.37352109999999
40.6291078,-122.37352109999999
40.6291078,-122.37352109999999
40.6291078,-122.37352109999999
40.6291078,-122.37352109999999
40.6291078,-122.37352109999999
40.5766,-122.37
40.43143041,-122.28711651
40.5766,-122.37
40.5766,-122.37
40.5766,-122.37
40.5766,-122.37
40.5766,-122.37
40.6782,-122.37
40.6782,-122.37
40.5766,-122.37
40.6291006,-122.37353030000001
40.5766,-122.37
40.6291006,-122.37353030000001
40.5735,-122.37568
40.5766,-122.37
40.6291006,-122.37353030000001
40.6291006,-122.37353030000001
40.5766,-122.37
40.5766,-122.37
40.7053,-122.635
40.6291006,-122.37353030000001
40.5766,-122.37
40.5766,-122.37
40.5766,-122.37
40.5766,-122.37
40.51972612,-122.29830882
40.5766,-122.37
40.5766,-122.37
40.5766,-122.37
